epoch, batch, loss, loss_f, loss_e, f_mae, f_rmse, e_rmse, e/N_rmse
    1,     1,           1.0379,           1.0376,       0.00025865,           10.294,           15.917,           5.5287,           0.2513
    1,     2,           1.1394,           1.1386,       0.00076945,            10.38,           16.674,           9.5359,          0.43345
    1,     3,          0.86673,          0.86616,       0.00056157,           9.6155,           14.543,           8.1465,           0.3703
    1,     4,           1.1935,            1.192,        0.0014772,           10.675,            17.06,           13.212,          0.60057
    1,     5,           1.0041,           1.0029,        0.0012895,           10.042,           15.648,           12.344,          0.56111
    1,     6,           1.1728,           1.1711,        0.0017543,           10.917,            16.91,           14.398,          0.65447
    1,     7,          0.76126,          0.75882,        0.0024354,           8.6264,           13.612,           16.965,          0.77114
    1,     8,          0.63249,          0.62922,        0.0032766,           8.0704,           12.395,           19.678,          0.89445
    1,     9,           1.1371,           1.1317,        0.0053551,            10.06,           16.623,           25.156,           1.1435
    1,    10,          0.71023,          0.70651,        0.0037222,           8.0874,           13.134,           20.973,          0.95333
    1,    11,          0.88048,           0.8722,        0.0082842,           8.7583,           14.593,           31.289,           1.4222
    1,    12,          0.55429,          0.54158,         0.012706,           7.6475,           11.499,           38.751,           1.7614
    1,    13,           0.5984,          0.58404,         0.014367,           8.0697,           11.942,           41.204,           1.8729
    1,    14,          0.77104,          0.76273,        0.0083118,           8.3949,           13.647,           31.341,           1.4246
    1,    15,          0.60081,          0.57765,         0.023155,           7.5279,           11.876,            52.31,           2.3777
    1,    16,          0.82775,          0.80926,         0.018491,            8.894,           14.057,           46.746,           2.1248
    1,    17,          0.57484,          0.55845,          0.01639,           7.0854,           11.677,            44.01,           2.0005
    1,    18,          0.53673,          0.52183,         0.014901,           7.1257,           11.288,           41.964,           1.9074
    1,    19,          0.54284,          0.52053,         0.022313,           7.2682,           11.274,           51.351,           2.3341
    1,    20,          0.46266,          0.44859,         0.014068,           6.8915,           10.466,           40.775,           1.8534
    1,    21,          0.65192,          0.63971,         0.012209,           7.9543,           12.498,           37.984,           1.7265
    1,    22,          0.37842,          0.35994,         0.018476,           6.7535,           9.3748,           46.727,            2.124
    1,    23,          0.41389,           0.3996,          0.01429,           6.9317,           9.8778,           41.095,           1.8679
    1,    24,          0.40537,           0.4019,        0.0034704,           6.5968,           9.9062,           20.251,          0.92052
    1,    25,          0.43566,          0.42892,        0.0067334,           6.7187,           10.234,           28.209,           1.2822
    1,    26,          0.45593,          0.45015,        0.0057831,           6.6215,           10.484,           26.142,           1.1883
    1,    27,           0.2948,          0.28651,        0.0082829,           5.5254,           8.3641,           31.287,           1.4221
    1,    28,          0.37408,          0.36271,         0.011373,           5.8847,           9.4108,            36.66,           1.6664
    1,    29,          0.29724,          0.29465,         0.002581,           5.9026,            8.482,           17.465,          0.79385
    1,    30,          0.25273,          0.24934,        0.0033829,           5.2287,           7.8027,           19.995,          0.90884
    1,    31,          0.29587,          0.29262,        0.0032509,           5.6663,           8.4528,           19.601,          0.89094
    1,    32,          0.23706,          0.23525,        0.0018081,           4.9819,            7.579,           14.618,          0.66444
    1,    33,          0.35934,           0.3581,        0.0012354,            6.038,           9.3508,           12.083,          0.54923
    1,    34,          0.20887,          0.20736,        0.0015066,           4.9627,           7.1155,           13.343,          0.60651
    1,    35,          0.31286,          0.31068,        0.0021846,           5.6181,           8.7096,           16.068,          0.73035
    1,    36,          0.24813,          0.24727,       0.00086243,           5.3031,           7.7701,           10.096,          0.45889
    1,    37,          0.25129,          0.24986,        0.0014288,           5.0557,           7.8107,           12.994,          0.59065
    1,    38,          0.20307,           0.2026,       0.00046433,           4.7075,           7.0334,           7.4077,          0.33671
    1,    39,          0.25497,           0.2533,        0.0016743,           4.8765,           7.8643,           14.066,          0.63938
    1,    40,          0.18198,          0.18161,       0.00037894,           4.4192,            6.659,           6.6919,          0.30418
    1,    41,          0.22631,          0.22561,       0.00070067,           5.0658,            7.422,           9.0996,          0.41362
    1,    42,          0.17672,           0.1759,       0.00082638,           4.6565,           6.5535,           9.8823,           0.4492
    1,    43,          0.28997,          0.28856,        0.0014117,            5.174,           8.3939,           12.917,          0.58711
    1,    44,          0.18225,          0.18209,       0.00015595,           4.2722,           6.6679,            4.293,          0.19513
    1,    45,          0.29921,          0.29873,       0.00047634,           5.1553,           8.5405,           7.5029,          0.34104
    1,    46,          0.20715,          0.20662,       0.00052348,           4.6222,           7.1029,           7.8653,          0.35751
    1,    47,          0.19384,          0.19352,       0.00031514,           4.6336,            6.874,           6.1026,          0.27739
    1,    48,          0.19754,          0.19734,       0.00020131,           4.7799,           6.9414,           4.8775,          0.22171
    1,    49,          0.16229,          0.16208,       0.00021183,           4.1786,           6.2908,           5.0033,          0.22742
    1,    50,          0.16961,          0.16936,       0.00025115,           4.2237,           6.4305,           5.4479,          0.24763
    1,    51,          0.14679,          0.14602,       0.00076585,             3.92,           5.9711,           9.5136,          0.43243
    1,    52,          0.19266,          0.19196,       0.00069499,           4.6253,           6.8463,           9.0626,          0.41194
    1,    53,           0.2035,          0.20303,       0.00047119,           4.6054,           7.0408,           7.4622,          0.33919
    1,    54,          0.21275,          0.21243,       0.00031833,           4.7918,            7.202,           6.1334,          0.27879
    1,    55,          0.24827,           0.2478,       0.00046752,           4.8105,           7.7785,           7.4331,          0.33787
    1,    56,          0.21078,          0.21066,       0.00011896,           4.7858,            7.172,           3.7495,          0.17043
    1,    57,           0.1491,          0.14884,       0.00025645,           4.0743,           6.0284,           5.5051,          0.25023
    1,    58,           0.1978,          0.19763,       0.00017111,           4.5806,           6.9466,           4.4968,           0.2044
    1,    59,          0.16213,          0.16163,       0.00049622,           4.3546,           6.2822,           7.6578,          0.34808
    1,    60,          0.20888,          0.20866,       0.00022208,           4.7626,           7.1378,            5.123,          0.23286
    1,    61,          0.15326,          0.15214,        0.0011172,           4.3007,           6.0949,            11.49,          0.52228
    1,    62,          0.16198,           0.1614,       0.00058188,           4.2089,           6.2777,           8.2924,          0.37693
    1,    63,          0.14638,          0.14597,       0.00040687,           3.8381,           5.9701,           6.9342,          0.31519
    1,    64,           0.1875,          0.18669,       0.00081417,           4.3754,           6.7515,            9.809,          0.44587
    1,    65,          0.14508,          0.14479,        0.0002836,           3.9799,           5.9459,           5.7893,          0.26315
    1,    66,          0.14684,           0.1465,       0.00034396,           4.1038,           5.9808,           6.3755,           0.2898
    1,    67,          0.15577,          0.15524,       0.00053655,           4.2299,           6.1566,            7.963,          0.36195
    1,    68,          0.12612,          0.12489,        0.0012358,           3.7497,           5.5221,           12.085,          0.54932
    1,    69,          0.19288,          0.19161,        0.0012676,           4.3577,             6.84,           12.239,          0.55632
    1,    70,          0.17386,          0.17283,        0.0010257,           4.3966,           6.4961,            11.01,          0.50043
    1,    71,          0.18794,          0.18589,        0.0020456,           4.5638,           6.7371,           15.548,          0.70673
    1,    72,          0.18568,          0.18548,       0.00019968,           4.5801,           6.7296,           4.8577,           0.2208
    1,    73,          0.13773,          0.13758,       0.00015227,           3.9661,           5.7959,            4.242,          0.19282
    1,    74,          0.13765,          0.13702,       0.00062696,           3.8365,           5.7842,           8.6078,          0.39126
    1,    75,          0.18411,            0.184,       0.00011139,           4.4167,           6.7028,           3.6281,          0.16491
    1,    76,           0.1449,          0.14448,        0.0004219,           4.0699,           5.9394,           7.0611,          0.32096
