epoch, batch, loss, loss_f, loss_e, f_mae, f_rmse, e_rmse, e/N_rmse
    1,     1,          0.78559,          0.78537,       0.00022278,           6.1008,           9.0146,           3.3398,          0.15181
    1,     2,           1.1694,           1.1688,       0.00055174,           6.5593,           10.997,            5.258,            0.239
    1,     3,           1.0463,           1.0457,       0.00055366,           6.4518,           10.402,           5.2691,           0.2395
    1,     4,          0.89571,          0.89425,        0.0014571,           6.3502,           9.6193,           8.5335,          0.38789
    1,     5,          0.74574,           0.7431,        0.0026388,           6.0117,           8.7687,           11.496,          0.52256
    1,     6,          0.62729,          0.62547,        0.0018174,           5.5197,           8.0448,           9.5379,          0.43354
    1,     7,            1.059,           1.0572,        0.0017466,           6.6008,           10.459,           9.3586,          0.42539
    1,     8,          0.83567,          0.83236,        0.0033117,             5.97,           9.2804,           12.886,          0.58571
    1,     9,          0.72778,          0.72471,        0.0030682,           5.6149,           8.6595,           12.393,          0.56334
    1,    10,          0.82526,           0.8223,        0.0029642,           5.9265,           9.2241,            12.17,          0.55319
    1,    11,          0.59436,          0.59156,        0.0028066,            5.415,           7.8237,           11.864,          0.53928
    1,    12,          0.68576,          0.68282,        0.0029401,           5.5293,           8.4055,           12.138,          0.55171
    1,    13,          0.74209,          0.73721,        0.0048804,           5.7081,           8.7339,           15.632,          0.71056
    1,    14,          0.87154,          0.86214,        0.0093975,           6.2899,            9.445,           21.683,          0.98561
    1,    15,           1.2218,           1.2194,        0.0024237,           6.8676,           11.233,           11.007,          0.50034
    1,    16,          0.97742,           0.9748,        0.0026226,           6.5846,           10.043,           11.466,          0.52116
    1,    17,          0.53994,          0.53195,        0.0079922,           5.1182,            7.419,           20.017,          0.90987
    1,    18,          0.76933,          0.76335,        0.0059809,           5.8243,           8.8873,           17.299,          0.78632
    1,    19,          0.67719,           0.6675,        0.0096849,           5.6556,           8.3107,           22.013,           1.0006
    1,    20,          0.47421,          0.46529,        0.0089141,           4.8226,           6.9386,           21.138,           0.9608
    1,    21,          0.57982,          0.57505,        0.0047689,           4.8939,           7.7138,           15.454,          0.70245
    1,    22,          0.63268,          0.62648,        0.0061948,           5.4551,           8.0513,           17.607,          0.80032
    1,    23,          0.72508,          0.71538,        0.0097025,            5.541,           8.6036,           22.041,           1.0019
    1,    24,          0.82214,          0.81829,        0.0038538,           5.9438,           9.2016,           13.893,          0.63151
    1,    25,          0.55841,          0.55484,        0.0035658,           5.2306,            7.577,           13.378,           0.6081
    1,    26,          0.57273,          0.56928,        0.0034479,           5.0858,           7.6749,           13.132,          0.59692
    1,    27,          0.66002,          0.65831,        0.0017109,           5.4826,           8.2533,           9.2544,          0.42065
    1,    28,          0.49655,          0.49524,        0.0013093,           4.7704,           7.1584,           8.1012,          0.36824
    1,    29,          0.44377,          0.44304,       0.00072826,           4.5638,           6.7707,           6.0354,          0.27434
    1,    30,           0.5858,           0.5851,       0.00070726,           5.0804,           7.7808,           5.9522,          0.27055
    1,    31,          0.59035,          0.58949,        0.0008577,           5.0676,             7.81,           6.5591,          0.29814
    1,    32,          0.47684,          0.47635,       0.00048271,            4.568,           7.0206,           4.9246,          0.22385
    1,    33,          0.55487,          0.55347,         0.001403,           4.8284,           7.5676,           8.3813,          0.38097
    1,    34,          0.66287,          0.65862,        0.0042498,           5.3782,           8.2552,           14.586,          0.66299
    1,    35,          0.54111,          0.53843,        0.0026774,           4.9431,           7.4641,           11.586,          0.52663
    1,    36,          0.41999,          0.41882,        0.0011651,           4.4828,           6.5831,           7.6388,          0.34722
    1,    37,          0.59488,          0.59305,        0.0018271,           5.1506,           7.8335,           9.5685,          0.43493
    1,    38,          0.50521,          0.50295,        0.0022565,           4.8588,            7.214,           10.635,          0.48341
    1,    39,          0.56425,          0.56337,       0.00087851,           4.8444,            7.635,           6.6352,           0.3016
    1,    40,          0.52128,           0.5203,       0.00097524,            4.913,           7.3374,           6.9873,           0.3176
    1,    41,          0.38748,          0.38618,        0.0013065,           4.5126,           6.3213,           8.0905,          0.36775
    1,    42,          0.64254,           0.6424,       0.00014195,            5.438,           8.1529,           2.6745,          0.12157
    1,    43,           0.4981,           0.4973,       0.00080272,           4.9501,           7.1733,           6.3464,          0.28847
    1,    44,          0.43354,          0.43234,        0.0011961,           4.6317,           6.6884,           7.7364,          0.35165
    1,    45,          0.44085,          0.44027,        0.0005741,           4.7047,           6.7495,           5.3701,           0.2441
    1,    46,          0.35888,          0.35768,        0.0012001,           4.3806,           6.0836,           7.7533,          0.35242
    1,    47,           0.4187,          0.41814,       0.00056077,           4.4475,           6.5777,           5.2974,          0.24079
    1,    48,          0.59299,          0.59251,       0.00047934,           4.9595,           7.8299,           4.9002,          0.22274
    1,    49,          0.47371,          0.47282,       0.00088647,           4.4822,           6.9946,           6.6581,          0.30264
    1,    50,          0.45977,          0.45845,        0.0013195,              4.7,           6.8875,           8.1246,           0.3693
    1,    51,          0.41926,          0.41867,       0.00059056,           4.5658,           6.5818,           5.4411,          0.24732
    1,    52,          0.34017,          0.33973,       0.00044015,           4.0574,            5.929,           4.7023,          0.21374
    1,    53,          0.42155,          0.42131,       0.00023805,           4.6767,           6.6026,           3.4538,          0.15699
    1,    54,          0.33783,          0.33743,       0.00039589,           4.0608,           5.9089,           4.4509,          0.20231
    1,    55,          0.33678,          0.33645,       0.00032525,           4.1771,           5.9003,           4.0338,          0.18335
    1,    56,           0.4568,          0.45605,       0.00074719,           4.7335,           6.8694,           6.1171,          0.27805
    1,    57,          0.38328,          0.38205,        0.0012337,           4.2081,           6.2874,           7.8482,          0.35674
    1,    58,          0.40346,          0.40291,       0.00054787,           4.4005,           6.4568,           5.2256,          0.23753
    1,    59,          0.40026,           0.3995,       0.00075803,           4.6176,           6.4294,           6.1557,          0.27981
    1,    60,          0.40673,          0.40644,       0.00028899,           4.3502,            6.485,           3.8034,          0.17288
    1,    61,          0.27485,           0.2736,        0.0012534,           3.7258,           5.3207,           7.9302,          0.36046
    1,    62,           0.3373,           0.3369,       0.00039792,           4.0631,           5.9042,           4.4713,          0.20324
    1,    63,          0.53647,           0.5357,       0.00076689,           4.7908,           7.4451,           6.1952,           0.2816
    1,    64,          0.45532,          0.45482,       0.00050281,           4.8105,           6.8601,            5.015,          0.22796
    1,    65,          0.44401,          0.44345,       0.00055537,           4.6299,           6.7738,           5.2805,          0.24002
    1,    66,          0.31667,          0.31542,        0.0012486,           4.1329,           5.7129,            7.904,          0.35927
    1,    67,           0.4089,          0.40857,       0.00033647,           4.3807,           6.5019,           4.0979,          0.18627
    1,    68,          0.36458,          0.36355,        0.0010372,           4.3007,           6.1333,           7.2104,          0.32775
    1,    69,          0.36771,          0.36701,       0.00070067,           4.0111,           6.1624,            5.918,            0.269
    1,    70,          0.35375,          0.35262,        0.0011363,           3.9788,           6.0404,           7.5463,          0.34301
    1,    71,          0.40657,          0.40597,       0.00059829,           4.2598,           6.4812,           5.4761,          0.24891
