epoch, batch, loss, loss_self_forces, loss_self_energy, loss_coupl_forces, loss_coupl_energy, self_forces_rmse, self_energy_rmse, coupl_forces_rmse, coupl_energy_rmse
    1,     1,           1.9288,          0.87939,       0.00038655,            1.046,        0.0030403,           10.907,           5.0345,           3.5099,           4.1631
    1,     2,           2.1281,           1.1371,       0.00053918,           0.9872,        0.0033224,           12.402,           5.9362,           3.4099,           4.3519
    1,     3,           2.1637,           1.0686,        0.0017081,           1.0771,           0.0163,           12.023,           10.582,           3.5617,           9.6395
    1,     4,           1.6924,          0.80624,          0.00121,          0.88147,        0.0034359,           10.443,           8.8996,           3.2221,           4.4256
    1,     5,           1.5493,          0.74351,        0.0011997,          0.80149,        0.0030699,           10.029,           8.8588,           3.0724,           4.1833
    1,     6,           1.5776,          0.63523,        0.0012732,          0.93924,        0.0018517,           9.2696,           9.1376,            3.326,            3.249
    1,     7,           1.8161,            1.023,       0.00098147,          0.78723,        0.0049178,           11.763,           8.0218,            3.045,           5.2947
    1,     8,           1.6961,          0.80769,        0.0029873,          0.87482,         0.010572,           10.452,           13.985,           3.2099,           7.7629
    1,     9,           1.5382,          0.69675,        0.0013455,          0.83734,        0.0027441,           9.7081,           9.3774,           3.1404,           3.9551
    1,    10,           1.7099,          0.76798,        0.0013723,           0.9381,        0.0024585,           10.192,            9.481,            3.324,           3.7436
    1,    11,           1.2522,           0.5232,        0.0024652,           0.7188,        0.0077845,           8.4126,             12.7,           2.9096,           6.6615
    1,    12,           1.3429,          0.65219,         0.001313,          0.68597,        0.0034738,           9.3926,           9.2655,           2.8424,             4.45
    1,    13,            1.511,          0.65017,        0.0038427,          0.84647,         0.010559,            9.378,           15.865,           3.1575,           7.7584
    1,    14,           1.9104,          0.74379,        0.0085189,           1.1364,         0.021703,           10.031,            23.61,           3.6585,           11.123
    1,    15,           1.6609,           1.0035,       0.00095359,           0.6528,        0.0036173,           11.651,           7.8916,           2.7728,            4.541
    1,    16,           1.7391,           0.8734,        0.0030929,          0.85105,         0.011563,           10.869,           14.228,            3.166,           8.1187
    1,    17,           1.3507,          0.44602,          0.01215,          0.86051,         0.032065,           7.7673,           28.195,           3.1835,            13.52
    1,    18,           1.3549,           0.6447,         0.007558,          0.69024,          0.01245,           9.3384,           22.251,           2.8512,           8.4243
    1,    19,             1.26,          0.55274,        0.0084893,          0.67944,         0.019374,           8.6468,           23.566,           2.8288,           10.509
    1,    20,            1.066,          0.40659,         0.013447,          0.63577,         0.010239,           7.4161,           29.666,           2.7364,           7.6399
    1,    21,           1.0819,          0.44332,        0.0062854,          0.62704,         0.005202,           7.7438,           20.286,           2.7176,           5.4456
    1,    22,           1.2196,          0.57508,         0.010938,          0.61982,         0.013775,           8.8199,           26.768,           2.7019,           8.8615
    1,    23,           1.3992,          0.64933,         0.021011,          0.67123,         0.057582,            9.372,           37.091,           2.8117,           18.118
    1,    24,           1.3484,          0.67182,         0.010923,          0.63971,         0.025921,           9.5328,           26.736,           2.7449,           12.156
    1,    25,           1.1901,          0.48983,         0.011226,          0.66387,         0.025187,           8.1399,           27.114,           2.7962,           11.983
    1,    26,           1.0683,          0.47909,         0.010382,          0.56714,         0.011731,           8.0502,           26.068,           2.5845,           8.1775
    1,    27,           1.1556,          0.56342,        0.0069847,           0.5802,        0.0049525,           8.7299,           21.379,           2.6141,           5.3134
    1,    28,          0.99361,          0.43859,         0.007007,          0.54268,        0.0053352,           7.7024,           21.413,           2.5282,           5.5148
    1,    29,          0.96476,          0.36067,        0.0032441,          0.58569,         0.015159,           6.9848,           14.576,           2.6264,            9.296
    1,    30,           1.1142,          0.48265,        0.0023011,          0.62083,        0.0084125,           8.0801,           12.266,           2.7041,            6.925
    1,    31,           1.0981,          0.46943,        0.0005728,          0.62256,        0.0054927,           7.9686,           6.1316,           2.7078,           5.5956
    1,    32,          0.90712,          0.38478,        0.0012116,          0.51263,        0.0084883,           7.2145,           8.9073,           2.4572,           6.9561
    1,    33,           1.0212,          0.49594,       0.00094844,           0.5129,         0.011366,           8.1906,           7.8831,           2.4578,           8.0494
    1,    34,           1.2086,          0.54226,        0.0017805,            0.662,        0.0025396,           8.5644,             10.8,           2.7923,           3.8049
    1,    35,           1.0225,          0.51967,        0.0010436,          0.47737,         0.024411,           8.3841,           8.2756,           2.3712,           11.796
    1,    36,          0.72449,          0.35252,        0.0008902,          0.36504,        0.0060297,           6.9054,           7.6372,           2.0735,           5.8628
    1,    37,          0.99822,          0.50327,        0.0010962,          0.47721,         0.016648,           8.2508,           8.4652,           2.3708,           9.7417
    1,    38,          0.97674,          0.40103,       0.00056492,          0.55625,         0.018895,           7.3652,           6.0917,           2.5596,           10.378
    1,    39,          0.88631,           0.4109,       0.00088662,          0.45426,         0.020263,           7.4553,           7.6193,           2.3131,           10.748
    1,    40,          0.91581,          0.48206,       0.00063193,          0.40373,         0.029389,           8.0751,           6.4315,           2.1806,           12.943
    1,    41,          0.76279,          0.31118,         0.002239,          0.43527,         0.014105,           6.4878,           12.114,           2.2642,           8.9668
    1,    42,          0.82693,          0.48135,       0.00045378,          0.34159,        0.0035428,           8.0691,           5.4494,           2.0058,           4.4939
    1,    43,          0.72276,          0.38821,       0.00068886,          0.32562,         0.008243,           7.2465,           6.7107,           1.9583,           6.8549
    1,    44,          0.66619,           0.3267,       0.00064546,          0.33005,        0.0087825,           6.6477,           6.5043,           1.9716,           7.0756
    1,    45,          0.71587,           0.3528,        0.0021523,          0.35913,        0.0017958,           6.9081,           11.861,           2.0566,           3.1995
    1,    46,          0.66389,          0.26256,        0.0041825,          0.38911,        0.0080387,           5.9595,           16.555,           2.1408,           6.7694
    1,    47,           0.7081,           0.3196,        0.0028893,          0.37832,        0.0072948,            6.575,           13.757,           2.1109,           6.4486
    1,    48,          0.85427,           0.4284,        0.0055324,          0.41671,        0.0036201,           7.6124,           19.039,           2.2154,           4.5427
    1,    49,          0.70957,          0.35369,        0.0033899,          0.34927,        0.0032167,           6.9168,           14.893,           2.0282,           4.2822
    1,    50,          0.83489,          0.39842,        0.0048831,          0.42854,        0.0030435,           7.3412,           17.877,           2.2466,           4.1653
    1,    51,          0.63064,          0.32854,        0.0014976,           0.2986,        0.0020047,           6.6664,           9.9024,           1.8753,           3.3805
    1,    52,          0.56159,          0.29471,        0.0033242,          0.26187,         0.001679,           6.3138,           14.755,           1.7562,           3.0937
    1,    53,          0.80421,          0.34662,        0.0027731,          0.44993,        0.0048857,           6.8474,           13.472,            2.302,           5.2774
    1,    54,          0.64856,          0.26671,        0.0034076,          0.37603,        0.0024102,           6.0064,           14.933,           2.1045,           3.7067
    1,    55,          0.61412,          0.25773,        0.0015953,          0.35344,        0.0013482,           5.9045,           10.209,           2.0403,           2.7722
    1,    56,          0.69464,          0.38199,        0.0020469,          0.30864,         0.001958,           7.1882,           11.584,           1.9066,           3.3409
    1,    57,          0.59003,          0.29531,        0.0005339,          0.29096,        0.0032357,           6.3202,            5.917,           1.8512,           4.2948
    1,    58,          0.57618,           0.2875,       0.00043665,          0.28576,        0.0024767,           6.2362,           5.3473,           1.8346,           3.7574
    1,    59,          0.63549,          0.35668,       0.00084713,          0.27424,        0.0037231,            6.946,           7.4484,           1.7972,           4.6069
    1,    60,          0.61728,          0.29753,        0.0003503,          0.31703,        0.0023704,            6.344,           4.7926,           1.9323,           3.6759
    1,    61,           0.4559,          0.21399,        0.0019646,          0.23884,        0.0011117,           5.3801,           11.345,           1.6772,           2.5174
    1,    62,          0.53441,          0.28698,       0.00090875,          0.24529,        0.0012272,           6.2305,           7.7106,           1.6997,           2.6449
    1,    63,          0.89562,          0.43809,         0.001561,          0.45264,        0.0033275,            7.698,           10.116,           2.3089,           4.3553
    1,    64,          0.78268,          0.38545,       0.00070855,          0.39076,        0.0057569,           7.2207,           6.8093,           2.1453,           5.7286
    1,    65,          0.72518,           0.3754,       0.00066056,          0.34735,        0.0017703,            7.126,           6.5698,           2.0226,           3.1767
    1,    66,          0.53965,          0.25958,        0.0018138,          0.27599,        0.0022668,           5.9256,           10.901,           1.8029,           3.5947
    1,    67,          0.68017,          0.32036,       0.00075634,          0.35713,        0.0019209,           6.5829,           7.0307,           2.0509,           3.3091
    1,    68,          0.51864,          0.25931,        0.0011748,          0.25477,        0.0033742,           5.9226,           8.7741,           1.7322,           4.3857
    1,    69,          0.49845,           0.2976,        0.0021889,          0.19563,        0.0030216,           6.3448,           11.974,           1.5179,           4.1502
    1,    70,          0.57837,          0.33597,        0.0019815,          0.23805,        0.0023636,           6.7414,           11.388,           1.6744,           3.6706
    1,    71,          0.58087,          0.32884,        0.0020529,          0.24905,       0.00092894,           6.6694,           11.596,           1.7127,           2.3012
    1,    72,          0.72083,          0.31309,       0.00046782,          0.40556,        0.0017131,           6.5078,           5.5311,           2.1855,            3.125
