epoch, wall, LR,training_loss_self_forces,training_loss_self_energy,training_loss_coupl_forces,training_loss_coupl_energy,training_loss,training_self_forces_rmse,training_self_energy_rmse,training_coupl_forces_rmse,training_coupl_energy_rmse,validation_loss_self_forces,validation_loss_self_energy,validation_loss_coupl_forces,validation_loss_coupl_energy,validation_loss,validation_self_forces_rmse,validation_self_energy_rmse,validation_coupl_forces_rmse,validation_coupl_energy_rmse
         1,  219.158,    0.005,          0.28915,        0.0013931,          0.30772,        0.0044584,          0.60273,         6.26,         9.55,          1.9,         5.05,          0.13767,       0.00018179,          0.16286,        0.0022416,          0.30295,         4.32,         3.45,         1.39,         3.57
         2,  406.470,    0.005,            0.103,       0.00023141,          0.13955,        0.0021129,          0.24489,         3.73,          3.9,         1.28,         3.47,         0.067897,       0.00012846,          0.12226,        0.0021133,           0.1924,         3.03,          2.9,          1.2,         3.47
         3,  596.095,    0.005,         0.062523,       0.00016914,          0.10571,        0.0020163,          0.17042,         2.91,         3.33,         1.12,         3.39,          0.04504,       9.4116e-05,         0.098958,        0.0019785,          0.14607,         2.47,         2.47,         1.08,         3.35
         4,  790.356,    0.005,          0.04661,       0.00014973,         0.088151,        0.0019778,          0.13689,         2.51,         3.13,         1.02,         3.36,         0.035505,       7.5087e-05,         0.085497,        0.0019739,          0.12305,         2.19,         2.21,            1,         3.34
         5,  984.091,    0.005,         0.039365,       0.00015302,         0.078389,        0.0019359,          0.11984,         2.31,         3.16,         0.96,         3.32,         0.029397,       6.2206e-05,         0.075759,        0.0018908,          0.10711,            2,         2.01,        0.946,         3.27
         6, 1180.917,    0.005,          0.03316,       0.00010528,         0.069343,        0.0018253,          0.10443,         2.12,         2.63,        0.904,         3.23,          0.02525,       5.1058e-05,         0.068262,        0.0018615,         0.095425,         1.85,         1.82,        0.897,         3.25
         7, 1371.960,    0.005,         0.029272,       9.2724e-05,         0.064251,        0.0017547,         0.095371,         1.99,         2.47,        0.867,         3.15,          0.02216,       4.9494e-05,         0.063134,        0.0017794,         0.087122,         1.73,         1.79,        0.863,         3.17
         8, 1562.079,    0.005,         0.026826,       9.6858e-05,         0.061621,        0.0017906,         0.090334,         1.91,         2.51,        0.852,          3.2,         0.020401,       4.4243e-05,         0.059471,        0.0017679,         0.081684,         1.66,          1.7,        0.838,         3.16
         9, 1753.895,    0.005,         0.023897,       8.6745e-05,         0.056915,        0.0017006,         0.082599,          1.8,         2.38,        0.819,         3.12,         0.018803,       4.5916e-05,          0.05608,        0.0017385,         0.076668,          1.6,         1.73,        0.813,         3.13
        10, 1948.196,    0.005,         0.022165,       8.1738e-05,         0.054635,        0.0016399,         0.078521,         1.73,         2.31,        0.803,         3.06,         0.017769,       4.2804e-05,         0.053361,        0.0016981,         0.072871,         1.55,         1.67,        0.793,          3.1
